词条,创建年,摘要
我锁丢了,2019,摘要： 我锁丢了的来源和意思斗鱼直播主机区主播寅子，一天给水友讲故事提到了：“有一天做了点小买卖赚钱了，然后请朋友去网吧通宵，将自己的电动车和朋友的单车锁在一起随后进入网吧，通宵后走出网吧，刚欲骑他的电单车回家
鸡腿姑娘,2019,摘要： 鸡腿姑娘的来源和意思梦中情人（有独特魅力、让人一见钟情、让人难忘的女孩）。吃鸡腿的姑娘。出自电视剧《庆余年》，男主范闲（张若昀饰演）与初恋林婉儿（李沁饰演）初遇之时，被她天仙一般的气质与美貌吸引，一见钟
闻鸡起舞蔡徐坤,2019,摘要： 闻鸡起舞蔡徐坤的来源和意思对蔡徐坤在偶像练习生中的自我介绍表演的恶搞和嘲讽。来源于蔡徐坤在自我介绍视频中的一段打篮球与舞蹈相结合的才艺展示表演。因为运球动作尴尬，舞蹈也有点喜感，在他出名后，这段视频被网
老实人,2019,摘要： 原本指生性朴实，为人忠厚之人。但在网络中，带有贬义，指那些看不懂别人梗的人，或是在女神玩累了（被高富帅抛弃了）之后会选择嫁的一类人。有被女神戴绿帽（喜当爹）的风险。老实人招谁惹谁了
mcn,2020,摘要： mcn的来源和意思mcn是英文Multi-Channel Network的缩写，其意思是通过保障一些网络内容的持续输出来赚钱的公司，直白的说也就是网红经济公司。mcn是近几年开始流行起来的公司，主要签约
营养快线,2019,摘要： 据说是比啤酒泡枸杞更养生，比红牛更提神，比王老吉更续命，比82年拉菲更奢华的老司机必备饮料。由娃哈哈出品，在嘿嘿嘿之后饮用效果最佳。
一表人渣,2017,摘要： 您长的真是一表人渣啊…跟闹着玩似的
咖喱人,2019,摘要： 咖喱人的来源和意思“家里人”的不标准普通话表达。通常用于语气非常不友好或辱骂的情况，常见连句是“咖喱人不要了？”意为家里人不要了，咒骂对方全家。可能来源于山泥若的疼痒话，也可能来自6324。因为双方粉丝
累觉不爱,2014,摘要： 失恋N次了，累觉不爱了
nt,2020,摘要： nt的来源和意思是英文词语nice try（好的尝试）的首拼缩写，主要出现在竞技类网游中玩家的打字交流之中，因为游戏操作中时间很关键，能尽量用简写就用简写，nt用于鼓励队友，在暂时的劣势下，安慰队友不要
熬夜,2019,摘要： 把黑夜放在手机里煲粥
屁民,2015,摘要： 在天朝，俺究竟是一个公民还是一个屁民?
乡土情话,2019,摘要： 多用来形容那些闻者恶心听者肉麻，&nbsp;腻死人不偿命的，具有乡（想）土&nbsp;（吐）气息的恶俗情话。
蚂蚱烫,2019,摘要： 蚂蚱烫的来源和意思指一种流行的男士烫发造型名称。因为这种烫发操作时多用黑色钢丝细发卡固定，而且烫完之后的湿发一束一束弯折成角度，从烫发过程到成品效果都很像是许多蚂蚱的大长腿堆叠在一起，完全区别于普通烫发
wdnmd,2019,摘要： 意为:“我屌你妈的”或“我打你妈的”
靠,2014,摘要： 对于现在的年轻人来说，很多人将这个词当成了口头语，听上去稍微会有些难听，但是那种愤怒的程度一般人也难以理会。下面我们一起走进含义网来了解一下吧！
囬气,2020,摘要： 囬气的来源和意思出自英雄联盟前RNG战队上单选手姿态的直播间，囬字读音为huí，姿态用此词语表示晦气，只是读音上把四音读成了二音，表达了无奈的感觉。同梗还有弔人，弔为吊的繁体写法，读音相同，姿态用弔人谐
逆天,2015,"摘要： 1.你Y的老是鼓吹奴隶社会好,那是逆天而行不顺应潮流啊"
2b,2014,摘要： 我们对于2b铅笔都很熟悉，这里的2b与铅笔无关哦
船过水无痕,2018,摘要： 船过水无痕的来源和意思船过水无痕流行于2018年5月16号，是源于国务院安峰山的一段话：两岸统一是不可阻挡的历史大势。“台独”是一条走不通的死胡同，只会给台湾同胞带来灾难。我们说过，凡走过必留痕迹。“台
盲僧，你找到了华点,2020,摘要： 盲僧，你找到了华点的来源和意思实际想表达的是：华生，你找到了盲点。出自《神探夏洛克》，改编自网友。该句话运用了谐音梗和调换字序的梗。因为调换“华”与“盲”过后的“盲生”神似LOL里面的一个英雄，盲僧，故
毛片,2015,摘要： 第一次做爱要注意什么？要先看毛片吗？
停靠在八楼的二路汽车,2018,摘要： 停靠在八楼的二路汽车是什么梗，流行语百科带你解读
栗子头,2020,摘要： 栗子头的来源和意思指的是一种发型，指发型像栗子?一样，短短的，不好去形容哎，具体还是看下面图片吧！！栗子头来源于当前热播的韩剧《梨泰院class》，其中男主朴世路（朴叙俊饰演），其完美还原了原来漫画中的
无情哈拉少,2020,摘要： 无情来自以前一个大爷的梗卧槽无情（就是单纯感叹某个东西妈的，绝了！），哈拉少是俄语хорош的空耳，意思就是太好了。
妈的智障,2017,摘要： 妈的智障，网络新词，就是骂人智力差、缺心眼的意思，没有什么特别的含义。作为网络词语，也可以当做一句搞怪的话，无特定含义
楼上神父别弹了,2020,摘要： 楼上神父别弹了的来源和意思这个梗来自《杀戮天使》哦（也叫x的天使）神父是指地下二层的男子，他会弹琴然后各位好像都jio得有点吵（失智发言）而且这个番里面时不时就会听见（貌似是）神父演奏的乐曲，声音有点大
努尔哈赤,2020,摘要： 努尔哈赤的来源和意思指武汉火神山雷神山医院建设现场的红色运输车，也叫小红。源自施工现场直播的弹幕！因为是红色的，工作兢兢业业，被网友赐名努尔哈赤。努尔哈赤本是清太祖的名字。
曱甴,2020,摘要： 曱甴的来源和意思一开始看这什么词呀？怎么读呀，后来查阅一番才知道，这个词普通话读音：yuēyóu，广东话读“gaza”，福州话中读作：gǎ là。多指“蟑螂”，也用来形容阴险恶毒之人。汉语方言词语，写法
你是真的皮,2019,摘要： 该词最早来自斗鱼英雄联盟主播DSM&nbsp;大司马，他在直播中经常说这句话，&nbsp;可能是因为口音的问题发音不准，这&nbsp;也是属于他的个人特色和自带笑点，&nbsp;每当这个时候弹幕上就会刷
群p,2015,摘要： 三亚海天盛筵群p照，究竟存在吗？
肉鸡,2015,摘要： 我有100只肉鸡哦也
你节操掉了,2015,摘要： A：“我要推倒这个世界上所有的妹子。” 众网友：“骚年，你节操掉了...”
爪机,2017,摘要： 在线看电影太麻烦了，爪机无力啊
奥斯卡颁奖大乌龙,2017,摘要： 第89届奥斯卡金像奖于2017年2月26日举行，小李的陪跑梗去年就已经终结了，今天的奥斯卡却又出现了一个史上最大的“奥斯卡颁奖大乌龙”梗，关于“奥斯卡颁奖大乌龙”是什么梗，一起来看看吧
万能女主,2020,摘要： 万能女主的来源和意思指形象可塑性高，可以代入各种小说女主，是非常高的赞美。这类人形象可塑性很高，能驾驭各种类型的角色。所以也经常收获各路剪辑大神的宠爱，成为各种小说民间剪辑神作的女主。万能女主万能女主的
赶羚羊,2014,"摘要： ""赶羚羊""这词表面上看上去优美,但现实生活中要慎用哦"
石更,2019,摘要： 石更的来源和意思经常会在网络上看到石更这个词，那多小伙伴都一头雾水，今天小编就带你解密这个神秘的网络流行语究竟是什么意思，更正一下，应该说是邪恶的流行语，该词为象形文字，把硬字拆成了两个，（类似的有马叉
渣男,2019,摘要： 渣男工作态度就是混日子。泡妞就&nbsp;像蚂蝗一样拼命钻，恋爱时装的很&nbsp;乖能收起一切不良爱好，上床前被&nbsp;女人怎么拒绝和侮辱都可以。渣男&nbsp;内心都是很扭曲黑暗自卑的，看到&n
淘宝富豪,2019,"摘要： 形容短期来看一贫如洗，但长期消费累计看起来确是个隐形富豪的人。与淘宝相识千百天，累计的消费有人够买辆车，有人够买套房，然而此刻身上的存款都不够还信用卡的。"
苏玛丽/玛丽苏,2019,摘要： 天生的女主角光环，在小说里要钱有钱要势有势。是文学批评中，尤其是同人文中的概念。1973年，保拉·史密斯（Paula&nbsp;Smith）创造了一个名叫Mary&nbsp;Sue的虚构女主角在自编的科
你懂的,2015,摘要： 求片，悬赏500分，至于什么片，你懂的
我反正信了,2017,摘要： 至于你信不信，我反正信了
米虫人生,2019,摘要： 米虫人生的来源和意思是指像大米里的蛀虫——米虫一样的人生。米虫是一种寄居在大米、小麦等谷物里的蛀虫。 因为米虫寄居在谷物内，每天没有什么事情需要做，又衣食无忧。所以人们将米虫人生指不用工作、不用努力又衣
打卡族,2019,摘要： 他们是微信朋友圈，网络社交生活中的一群活跃用户他们看起来与常人无异，却在暗中热衷于打打卡。不管是背单词，还是计步，甚至于睡觉……所有的生活项目都要打卡，看起来生活是由一次次的打卡织成的。这样的一群人，被
极端减肥女,2014,摘要： 极端减肥女
大姨父,2019,摘要： 指男生每个月非常不舒服体内激素水平产生变化，会在晚上睡眠过程中发生某种行为的一段时间，与大姨妈相对应。
路痴,2014,摘要： 路痴是指没有方向感或者方向感差的人，或者说是对所经过的路不在心不注意观察，记不住路方向的人
cos,2017,摘要： 一家大小齐齐cos好欢快...
撩骚过敏,2019,摘要： 撩骚过敏的来源和意思搞对象可以，但是不喜欢油腻的撩骚套路，一被撩骚就恶心想吐浑身难受恨不得马上把你拉黑，特别是面对一些土味情话，更是觉得很是肉麻鸡皮疙瘩受不了，对于一些骚话连篇的更是难以接受觉得恶心干呕
追星界蜻蜓队长,2019,摘要： 追星界蜻蜓队长的来源和意思追星界蜻蜓队长指的是在追星路上绝不专一，看到长得帅的明显都有好感，具备以下三点特征的可以称之为追星界蜻蜓队长第一:爱一个哥哥绝不是意气用事第二:绝不错过任何一位帅气的男士第三:
油土鳖,2019,摘要： YouTube的音译
大姨父,2019,摘要： 指男生每个月非常不舒服体内激素水平产生变化，会在晚上睡眠过程中发生某种行为的一段时间，与大姨妈相对应。
黄台之瓜，何堪再摘,2019,摘要： 黄台之瓜，何堪再摘的来源和意思该句是香港富商李嘉诚在香港暴乱时，于多家报纸买下版面，全版刊登的词句，并署名“一个香港市民李嘉诚”。本句来自唐章怀太子李贤所作古诗“种瓜黄台下，瓜熟子离离。一摘使瓜好，再摘
火灾,2019,摘要： 火灾就是我们所说的失火，其中有：电失火，汽油失火，还有仓库失火。等等。失火时要走楼梯，不要走电梯，走电梯的话会出现事故，要走楼梯。若是出去的话有手机，那就报火警（119）若没有时间拿那就别拿了生命最重要
恶爆,2014,摘要： 一边掏鼻屎一边吃饭，真是恶爆了啊
